year,month,city,dong,SO2(PPM),NO2(PPM),O3(PPM),CO(PPM),PM10(micrometer),PM2.5(micrometer)
2017,1,동구,서석동,0.001,0.003,0.019,0.7,46,30
2017,1,서구,농성동,0.002,0.007,0.021,0.7,45,31
2017,1,북구,두암동,0.001,0.005,0.023,0.6,51,32
2017,1,광산구,송정1동,0.002,0.004,0.019,0.6,35,24
2017,1,광산구,오선동,0.002,0.003,0.022,0.3,54,35
2017,1,북구,건국동,0.001,0.001,0.029,0.3,53,30
2017,1,남구,주월동,0.002,0.005,0.019,0.6,43,32
2017,2,동구,서석동,0.001,0.022,0.026,0.5,37,17
2017,2,서구,농성동,0.001,0.029,0.03,0.6,35,16
2017,2,북구,두암동,0.001,0.024,0.031,0.5,30,22
2017,2,광산구,송정1동,0.002,0.023,0.027,0.5,36,23
2017,2,광산구,오선동,0.002,0.012,0.028,0.3,40,30
2017,2,북구,건국동,0.001,0.012,0.037,0.3,32,24
2017,2,남구,주월동,0.002,0.029,0.026,0.5,38,23
2017,3,동구,서석동,0.002,0.026,0.034,0.6,49,26
2017,3,서구,농성동,0.003,0.033,0.03,0.6,50,25
2017,3,북구,두암동,0.002,0.026,0.035,0.5,45,33
2017,3,광산구,송정1동,0.004,0.032,0.034,0.5,48,31
2017,3,광산구,오선동,0.004,0.013,0.031,0.3,54,41
2017,3,북구,건국동,0.003,0.014,0.037,0.5,45,34
2017,3,남구,주월동,0.003,0.032,0.029,0.5,51,32
2017,4,동구,서석동,0.002,0.019,0.047,0.4,53,19
2017,4,서구,농성동,0.002,0.015,0.042,0.4,51,18
2017,4,북구,두암동,0.002,0.021,0.045,0.4,49,26
2017,4,광산구,송정1동,0.003,0.018,0.043,0.4,55,26
2017,4,광산구,오선동,0.003,0.012,0.035,0.3,59,33
2017,4,북구,건국동,0.002,0.014,0.038,0.4,52,25
2017,4,남구,주월동,0.003,0.024,0.04,0.4,55,24
2017,5,동구,서석동,0.003,0.017,0.045,0.4,53,17
2017,5,서구,농성동,0.002,0.023,0.043,0.4,53,16
2017,5,북구,두암동,0.002,0.018,0.044,0.4,49,24
2017,5,광산구,송정1동,0.003,0.016,0.044,0.3,63,28
2017,5,광산구,오선동,0.003,0.011,0.037,0.3,62,31
2017,5,북구,건국동,0.002,0.013,0.04,0.3,57,21
2017,5,남구,주월동,0.003,0.022,0.04,0.3,58,23
2017,6,동구,서석동,0.002,0.015,0.047,0.4,32,18
2017,6,서구,농성동,0.002,0.021,0.046,0.4,31,17
2017,6,북구,두암동,0.002,0.015,0.047,0.4,29,21
2017,6,광산구,송정1동,0.003,0.014,0.043,0.3,36,25
2017,6,광산구,오선동,0.003,0.009,0.039,0.4,40,28
2017,6,북구,건국동,0.002,0.014,0.043,0.4,40,21
2017,6,남구,주월동,0.003,0.019,0.042,0.3,38,21
2017,7,동구,서석동,0.002,0.011,0.031,0.3,17,11
2017,7,서구,농성동,0.002,0.015,0.032,0.3,19,10
2017,7,북구,두암동,0.001,0.009,0.033,0.3,15,11
2017,7,광산구,송정1동,0.002,0.01,0.031,0.2,27,20
2017,7,광산구,오선동,0.001,0.01,0.029,0.4,28,21
2017,7,북구,건국동,0.001,0.011,0.031,0.4,33,14
2017,7,남구,주월동,0.002,0.012,0.031,0.3,28,16
2017,8,동구,서석동,0.003,0.012,0.031,0.4,22,14
2017,8,서구,농성동,0.003,0.016,0.033,0.4,17,13
2017,8,북구,두암동,0.002,0.014,0.032,0.4,27,18
2017,8,광산구,송정1동,0.003,0.012,0.031,0.3,25,19
2017,8,광산구,오선동,0.002,0.011,0.024,0.4,26,19
2017,8,북구,건국동,0.002,0.01,0.031,0.3,26,11
2017,8,남구,주월동,0.002,0.012,0.031,0.3,23,15
2017,9,동구,서석동,0.003,0.017,0.032,0.4,34,24
2017,9,서구,농성동,0.003,0.015,0.035,0.4,29,19
2017,9,북구,두암동,0.002,0.017,0.034,0.4,41,27
2017,9,광산구,송정1동,0.002,0.015,0.034,0.4,31,21
2017,9,광산구,오선동,0.002,0.014,0.033,0.4,34,25
2017,9,북구,건국동,0.002,0.01,0.034,0.3,35,16
2017,9,남구,주월동,0.002,0.019,0.032,0.5,33,24
2017,10,동구,서석동,0.002,0.018,0.024,0.5,34,22
2017,10,서구,농성동,0.002,0.018,0.024,0.4,28,19
2017,10,북구,두암동,0.002,0.018,0.025,0.4,37,22
2017,10,광산구,송정1동,0.002,0.017,0.022,0.4,30,18
2017,10,광산구,오선동,0.002,0.016,0.025,0.4,34,22
2017,10,북구,건국동,0.002,0.012,0.026,0.3,35,14
2017,10,남구,주월동,0.003,0.022,0.021,0.4,33,21
2017,11,동구,서석동,0.003,0.027,0.018,0.6,56,33
2017,11,서구,농성동,0.004,0.031,0.016,0.6,48,33
2017,11,북구,두암동,0.003,0.03,0.019,0.6,49,34
2017,11,광산구,송정1동,0.003,0.023,0.017,0.5,43,25
2017,11,광산구,오선동,0.002,0.02,0.02,0.4,49,33
2017,11,북구,건국동,0.003,0.016,0.017,0.4,51,25
2017,11,남구,주월동,0.003,0.033,0.015,0.6,56,33
2017,12,동구,서석동,0.003,0.027,0.018,0.6,49,31
2017,12,서구,농성동,0.003,0.028,0.015,0.7,42,31
2017,12,북구,두암동,0.003,0.029,0.019,0.7,44,29
2017,12,광산구,송정1동,0.003,0.023,0.015,0.5,38,23
2017,12,광산구,오선동,0.003,0.017,0.018,0.4,42,30
2017,12,북구,건국동,0.003,0.013,0.02,0.4,43,24
2017,12,남구,주월동,0.003,0.032,0.015,0.6,49,29
2018,1,동구,서석동,0.003,0.027,0.019,0.7,51,32
2018,1,서구,농성동,0.003,0.028,0.017,0.7,45,31
2018,1,북구,두암동,0.003,0.026,0.022,0.6,44,28
2018,1,광산구,송정1동,0.003,0.022,0.018,0.6,38,23
2018,1,광산구,오선동,0.003,0.017,0.021,0.5,42,30
2018,1,북구,건국동,0.005,0.014,0.024,0.5,43,25
2018,1,남구,주월동,0.003,0.031,0.016,0.7,50,30
2018,2,동구,서석동,0.003,0.027,0.029,0.6,56,34
2018,2,서구,농성동,0.003,0.028,0.023,0.7,50,33
2018,2,북구,두암동,0.003,0.026,0.031,0.6,50,30
2018,2,광산구,송정1동,0.003,0.021,0.023,0.5,45,27
2018,2,광산구,오선동,0.003,0.02,0.025,0.6,47,32
2018,2,북구,건국동,0.005,0.016,0.028,0.6,49,28
2018,2,남구,주월동,0.003,0.031,0.023,0.6,55,31
2018,3,동구,서석동,0.002,0.021,0.036,0.7,52,33
2018,3,서구,농성동,0.002,0.02,0.031,0.5,48,32
2018,3,북구,두암동,0.002,0.022,0.037,0.5,49,31
2018,3,광산구,송정1동,0.002,0.016,0.031,0.4,51,32
2018,3,광산구,오선동,0.002,0.016,0.031,0.5,43,33
2018,3,북구,건국동,0.003,0.013,0.034,0.7,44,26
2018,3,남구,주월동,0.002,0.025,0.029,0.6,51,33
2018,4,동구,서석동,0.003,0.017,0.042,0.7,59,27
2018,4,서구,농성동,0.002,0.018,0.035,0.5,59,26
2018,4,북구,두암동,0.002,0.018,0.039,0.4,58,22
2018,4,광산구,송정1동,0.002,0.013,0.038,0.4,56,23
2018,4,광산구,오선동,0.002,0.014,0.034,0.5,51,27
2018,4,북구,건국동,0.003,0.012,0.037,0.8,51,20
2018,4,남구,주월동,0.002,0.021,0.031,0.5,60,27
2018,5,동구,서석동,0.002,0.014,0.043,0.5,42,24
2018,5,서구,농성동,0.002,0.013,0.037,0.4,43,22
2018,5,북구,두암동,0.002,0.013,0.042,0.4,41,19
2018,5,광산구,송정1동,0.002,0.01,0.037,0.3,38,19
2018,5,광산구,오선동,0.002,0.012,0.035,0.5,38,23
2018,5,북구,건국동,0.003,0.009,0.039,0.5,37,18
2018,5,남구,주월동,0.002,0.016,0.037,0.4,43,24
2018,6,동구,서석동,0.003,0.013,0.044,0.5,43,29
2018,6,서구,농성동,0.002,0.012,0.041,0.5,41,27
2018,6,북구,두암동,0.002,0.011,0.041,0.4,44,26
2018,6,광산구,송정1동,0.002,0.009,0.042,0.3,37,24
2018,6,광산구,오선동,0.002,0.009,0.04,0.5,38,28
2018,6,북구,건국동,0.003,0.008,0.044,0.5,39,24
2018,6,남구,주월동,0.003,0.015,0.037,0.4,44,28
2018,7,동구,서석동,0.003,0.01,0.023,0.3,26,18
2018,7,서구,농성동,0.002,0.009,0.022,0.4,26,16
